source,condition,true_class,predicted_class,count,row_pct
NEH,4,NORMAL,DME,80,0.93
NEH,4,NORMAL,DRUSEN,220,2.56
NEH,4,NORMAL,NORMAL,4546,53.0
NEH,4,NORMAL,deferred,3668,42.77
NEH,5,CNV,CNV,2838,87.76
NEH,5,CNV,DME,39,1.21
NEH,5,CNV,DRUSEN,36,1.11
NEH,5,CNV,NORMAL,17,0.53
NEH,5,CNV,deferred,304,9.4
NEH,5,DME,CNV,0,
NEH,5,DME,DME,0,
NEH,5,DME,DRUSEN,0,
NEH,5,DME,NORMAL,0,
NEH,5,DME,deferred,0,
NEH,5,DRUSEN,CNV,484,9.7
NEH,5,DRUSEN,DME,12,0.24
NEH,5,DRUSEN,DRUSEN,1924,38.54
NEH,5,DRUSEN,NORMAL,456,9.13
NEH,5,DRUSEN,deferred,2116,42.39
NEH,5,NORMAL,CNV,39,0.45
NEH,5,NORMAL,DME,71,0.83
NEH,5,NORMAL,DRUSEN,69,0.8
NEH,5,NORMAL,NORMAL,4730,55.15
NEH,5,NORMAL,deferred,3668,42.77
NEH,B2,CNV,CNV,2680,82.87
NEH,B2,CNV,DME,9,0.28
NEH,B2,CNV,DRUSEN,10,0.31
NEH,B2,CNV,NORMAL,6,0.19
NEH,B2,CNV,deferred,529,16.36
NEH,B2,DME,CNV,0,
NEH,B2,DME,DME,0,
NEH,B2,DME,DRUSEN,0,
NEH,B2,DME,NORMAL,0,
NEH,B2,DME,deferred,0,
NEH,B2,DRUSEN,CNV,304,6.09
NEH,B2,DRUSEN,DME,4,0.08
NEH,B2,DRUSEN,DRUSEN,863,17.29
NEH,B2,DRUSEN,NORMAL,224,4.49
NEH,B2,DRUSEN,deferred,3597,72.06
NEH,B2,NORMAL,CNV,17,0.2
NEH,B2,NORMAL,DME,11,0.13
NEH,B2,NORMAL,DRUSEN,5,0.06
NEH,B2,NORMAL,NORMAL,3141,36.62
NEH,B2,NORMAL,deferred,5403,62.99
OCTDL-in-label,1,CNV,CNV,702,97.91
OCTDL-in-label,1,CNV,DME,10,1.39
OCTDL-in-label,1,CNV,DRUSEN,2,0.28
OCTDL-in-label,1,CNV,NORMAL,3,0.42
OCTDL-in-label,1,CNV,deferred,0,0.0
OCTDL-in-label,1,DME,CNV,17,11.56
OCTDL-in-label,1,DME,DME,127,86.39
OCTDL-in-label,1,DME,DRUSEN,3,2.04
OCTDL-in-label,1,DME,NORMAL,0,0.0
OCTDL-in-label,1,DME,deferred,0,0.0
OCTDL-in-label,1,DRUSEN,CNV,79,29.7
OCTDL-in-label,1,DRUSEN,DME,1,0.38
OCTDL-in-label,1,DRUSEN,DRUSEN,169,63.53
OCTDL-in-label,1,DRUSEN,NORMAL,17,6.39
OCTDL-in-label,1,DRUSEN,deferred,0,0.0
OCTDL-in-label,1,NORMAL,CNV,2,0.6
OCTDL-in-label,1,NORMAL,DME,2,0.6
OCTDL-in-label,1,NORMAL,DRUSEN,3,0.9
OCTDL-in-label,1,NORMAL,NORMAL,325,97.89
OCTDL-in-label,1,NORMAL,deferred,0,0.0
OCTDL-in-label,2,CNV,CNV,661,92.19
OCTDL-in-label,2,CNV,DME,9,1.26
OCTDL-in-label,2,CNV,DRUSEN,2,0.28
OCTDL-in-label,2,CNV,NORMAL,2,0.28
OCTDL-in-label,2,CNV,deferred,43,6.0
OCTDL-in-label,2,DME,CNV,9,6.12
OCTDL-in-label,2,DME,DME,115,78.23
OCTDL-in-label,2,DME,DRUSEN,1,0.68
OCTDL-in-label,2,DME,NORMAL,0,0.0
OCTDL-in-label,2,DME,deferred,22,14.97
OCTDL-in-label,2,DRUSEN,CNV,58,21.8
OCTDL-in-label,2,DRUSEN,DME,0,0.0
OCTDL-in-label,2,DRUSEN,DRUSEN,162,60.9
OCTDL-in-label,2,DRUSEN,NORMAL,10,3.76
OCTDL-in-label,2,DRUSEN,deferred,36,13.53
OCTDL-in-label,2,NORMAL,CNV,0,0.0
OCTDL-in-label,2,NORMAL,DME,1,0.3
OCTDL-in-label,2,NORMAL,DRUSEN,2,0.6
OCTDL-in-label,2,NORMAL,NORMAL,214,64.46
OCTDL-in-label,2,NORMAL,deferred,115,34.64
OCTDL-in-label,3,CNV,CNV,679,94.7
OCTDL-in-label,3,CNV,DME,0,0.0
OCTDL-in-label,3,CNV,DRUSEN,0,0.0
OCTDL-in-label,3,CNV,NORMAL,1,0.14
OCTDL-in-label,3,CNV,deferred,37,5.16
OCTDL-in-label,3,DME,CNV,4,2.72
OCTDL-in-label,3,DME,DME,74,50.34
OCTDL-in-label,3,DME,DRUSEN,0,0.0
OCTDL-in-label,3,DME,NORMAL,0,0.0
OCTDL-in-label,3,DME,deferred,69,46.94
OCTDL-in-label,3,DRUSEN,CNV,43,16.17
OCTDL-in-label,3,DRUSEN,DME,0,0.0
OCTDL-in-label,3,DRUSEN,DRUSEN,91,34.21
OCTDL-in-label,3,DRUSEN,NORMAL,11,4.14
OCTDL-in-label,3,DRUSEN,deferred,121,45.49
OCTDL-in-label,3,NORMAL,CNV,0,0.0
OCTDL-in-label,3,NORMAL,DME,0,0.0
OCTDL-in-label,3,NORMAL,DRUSEN,0,0.0
OCTDL-in-label,3,NORMAL,NORMAL,283,85.24
OCTDL-in-label,3,NORMAL,deferred,49,14.76
OCTDL-in-label,4,CNV,CNV,686,95.68
OCTDL-in-label,4,CNV,DME,8,1.12
